paragraph_id,source_index,sentence_index,text,file_stem
paragraph_017,4941,1,"Seddie, naekiya de'na seddi-seddi, iyyanaritu ekspresi gerakan ekumenis, iya pura mancaji gerakan untu' mabbentu gereja-gereja bersatu, pappada Gereja India Selatan, Gereja India Utara, Gereja Kristus berbasis ri AS, Gereja Bersatu Kanada, Gereja Uniting di Australia sibawa Gereja Bersatu Kristus di Filipina iya to napunnai i pengurangan keanggotaan sibawa magatti.",paragraph_017_sent01
paragraph_018,52972,1,Kitab Musa yanaritu syatatan iyae lebbi lengkap fassaleng uki-uki Musa ri awal kitab Kejadian laleng Accanjingeng Itta.,paragraph_018_sent01
paragraph_018,52972,2,"Kitab Musa mallise maega doktrin na aggurung iyae tabbe fole Alkitab na mabbere informasi tambahan fassaleng rencana keselamatan, penciptaan bumi serta urusan-urusan Tuhan silong Adam na Henokh.",paragraph_018_sent02
paragraph_019,19071,1,"Sedi-seddi wettu rilaleng taung liturgi collongenggi tema teologi mattentu na tata cara massumpajang matentu iyya rijellokeng sibawa rupanna carana hiasi gereja, cora-cora paramentum na vestimentum bage rohaniwan, nas-nas Alkitab iyya ribacangeng rilaleng assumpajangeng, tema-tema makkatobba, na nulle sibawa rupanna tradisi sibawa praktik lo riammalakeng pole anggota jemaat secara pribadi iyyarega ri onrong ceddi-ceddi.",paragraph_019_sent01
paragraph_020,126421,1,"Alena mebbu kritik yaro matareng lokka prasangka-prasangka yaro makkokkoe muncul tentang keuntungan-keuntungan yaro riabbereang lokka manusia pole gereja, negara na distribusi harta punna yaro engkae, na pole aggurung-aggurung Yesus alena nasimpulkan atoran untuk de'na mewa na kutukan mutlak lokka yamaneng perang.",paragraph_020_sent01
paragraph_021,875,1,"Purana nasalai kepemimpinan NHGRI sibawa sebelum mancaji direktur NIH, alena patettong sibawa mancaji toi presiden The BioLogos Foundation, iya napromosikan discourse tentang hubungan antara sains sibawa agama sibawa naadvokasi perspektif makkeda kepercayaan Kristen naulle iselaraskan sibawa penerimaan evolusi sibawa sains, terutama lalo pengembangan kreasi evolusioner.",paragraph_021_sent01
paragraph_022,32004,1,"Purana serangang pammulang, pasukang Utsmaniyah tersebar ri sepanjang kalanan kota, Mese, nalewatkang forum-forum loppo, nennia nalewatkang Gereja Rasul Suci, ye yenelokie akku Mehmed II untu' ipanjaci onrong kedudukanna patriark ye elo' ijello'na, ye elo' mabbantu untu' lebbi makanja' laleng mengendalikang rakyat Kristenna.",paragraph_022_sent01
paragraph_023,127761,1,"Seddi apologet kristen na filsuf Alvin Plantinga iyae maddukung teori perancangan macca maformulasikan ulang argumen denanamungkin eddi sebage argumen evolusioner mabbali naturalisme, iya nanyatakan makkedda iyaro dena rasional untu mattolak keberadaan perancang macca na supernatural nasabari kemungkinan kemampuan mattentu tabbentu liwa syidaha.",paragraph_023_sent01
paragraph_024,37422,1,"Sebab iya yakin, makeda baik maut, maupun hidup, baik malaikat-malaikat, maupun pemerintah-pemerintah, makessing yewe engka makkukue, maupun yewe melo engka, atau kuasa-kuasa, baik yewe akki yase, maupun yewe akki iyawa, ataupun sesuatu makhluk lain, dessa melo wedding maserang ki fole kasih Allah, yewe engka laleng Kristus Yesus, Tuhan kita.",paragraph_024_sent01
paragraph_025,34003,1,Upacara pembaptisan ana-ana ki gereja Lutheran Upacara pengakuan dosa ki Gereja Katolik Ukraina Perayaan Ekaristi ki gereja Metodis Upacara pagala'i ki gereja Anglikan Upacara pentahbisan imang ki Gereja Ortodoks Rialau Pemahkotaan mempelai rilaleng upacara botting ri Gereja Katolik Suriah Malabar Upacara pengurapan tau malasa ri Esso Raba' Mapaccing.,paragraph_025_sent01
paragraph_026,23201,1,"Istilah aro syau lessi difake laleng Gereja Ortodoks Timur na Gereja Katolik Timur na terkadang iyaro analog fole monsinyur laleng Gereja Katolik, tafi laleng Gereja-Gereja Timur, seddi imam agung mappake jubah tambahan na seddi salib pektoral na kadang diakka molai seddi upacara liturgi.",paragraph_026_sent01
paragraph_027,62204,1,"Yede gau'e matedde rilaleng atuwongenna, gangka ri taung-taung paccappureng tuwongenna, alena lebbi gigih mappuada makkada Alkitab iyanaritu otoritas utama rilaleng Kekristenan, makkada akuwasanna Paus de nappunnai dasar sejarah, makkada atuwongeng biara iyaero pura mancaji makkasolang teng paddennuang untu' pinra, nenniya makkada kebobrokan moral sining pendeta nacarepai jabatan nenniya sakramen iya pada alena pogau.",paragraph_027_sent01
paragraph_028,47815,1,"Untu' uma' Islam, de' isuroangi untu; magurui ise'na Taurat, Zabur, na Injil iyya engka makukuae, nasaba naseng agurung Islam, yasengi pura matama' rupangna bettuange manessanaiyya de' tongen na nasaba ise'na yemaneng kitab iyya yapereluang mupi, purani ipatama ku lalengna kitab Al-Qur`an.",paragraph_028_sent01
paragraph_029,118321,1,"Tau iya palettu' kareba, harusu' napalettu' kareba pole Allah; tau iya layani tau laing e, harusu' nalayani sibawa agalakeng iya pole we Allah, bara' ilaleng siningna gau' e, Allah wedding iagungkan lalo Yesus Kristus.",paragraph_029_sent01
paragraph_029,118321,2,Alena makkuasa na wedding ipakaraja untu' silampe'na etta.,paragraph_029_sent02
paragraph_030,92081,1,"Kehormatan pengurapan sibawa parfum yanaro tindakan yaro sangi' riteppu laleng literatur lainge pole yaro masae; ne, mappake gemme lampe' untuk rakkoi aje Yesus, mappada laleng Injil Yohanes na Lukas, de'na ricatat ri onrong lainge, na parellu rianggap sebagai tindakan yaro istimewa.",paragraph_030_sent01
paragraph_031,13188,1,"Namuni engka sadda-sadda laleng Dewan Signoria Venesia ye iyusulkang nare' pulau yero iyaleng sibawa passullenna  wilayah ri Dalmatia nennia hak-hak dangkang istimewa, harapang elo' engkana  bantuang pole negara-negara Kristen lainna napancaji Venesia maloppo ulu, nennia ultimatum Utsmaniyah to itola' mentah-mentah.",paragraph_031_sent01
paragraph_032,65272,1,"Hebraisme, sippada Helenisme, ianaritu salah seddi faktor pongpenting laleng perkembangan peradaban Dunia Barat; agama Yahudi, mancaji paddiolona pole agama Kristen, secara de' na langsung maega mabbere sumbangan lao akkibukeng nilai-nilai luhur sibawa akhlak bangsa-bangsa Barat sipongenna agama Kristen tattale' maloang ri puttanang Eropa.",paragraph_032_sent01
paragraph_033,93044,1,"Ku wettu Borgias, yarega wettu ku tegi silesurengna Borgia kuasai kepemimpinan Gereja, perang ku Italia mamula malanre ku tegi tentara-tentara nawajae Swiss mancaji pasukan garisi yolo tette untu' faksi-faksi iyya siewa - maderi untu' Prancis na maderi untu' taua Gereja yarega Kekaisaran Romawi Suci.",paragraph_033_sent01
paragraph_034,111711,1,"Jurnal penelaahan sejawat New Testament Studies iyya ipassu ku Cambridge University Press, paui agaga padangena iyya manessa ku agaga-agagana iyya terangkangi tanrangna alena na jamang Parakletos, sibawa aga iyya pura dinubuatkan untu' umat Kristen, iyyanaro nubuat iyya nacaritai Parakletos mancaji paberena Roh Kudus pasca-Paskah.",paragraph_034_sent01
paragraph_035,38419,1,"Naikiya nasaba' iyaro Allah namasei ka, bara' Kristus Yesus wedding nappitang siningna asabbarakeng-Na akku iya', tau iya paling madosa e he.",paragraph_035_sent01
paragraph_035,38419,2,Na iyahe mancajiwi seddi contoh untu' siningna tau e matu' melo' mateppe' akku-Alena na naruntu' tuo sejati na pulana,paragraph_035_sent02
paragraph_036,121255,1,"Umma' Kristen narasai idiskriminasi akut, persekusi, na rilaleng siare kasus ripettui pidana mate ri siare' negara Muslim, Yahudi, na Asia Selatan, iyanaritu ri Irak, Iran, Israel, Suriah, Teritorial Palestina, Mesir, Arab Saudi, Turki, Qatar, Uzbekistan, Yordania, Oman, Kuwait, Kazakstan, Tajikistan, Turkmenistan, Kirgistan, Eritrea, Uni Emirat Arab, Kosovo, sibawa Chechnya.",paragraph_036_sent01
paragraph_037,127230,1,"Agama Kristeng itentang ri laleng maega peristiwa iyya berhubungangnge pole assi antiklerikalisme bawang lettu' alluangeng assi kekerasang pappadanna assi dekristenisasi riwettu mattengnganna Revolusi Prancis, Ammusureng Rikkaneng Spanyol, na gerakang-gerakang Marxis mattentu, khususu'na Revolusi Rusia na penindasang umma' Kristen ri Uni Soviet ku rezim ateis.",paragraph_037_sent01
paragraph_038,73782,1,"Ye engkana beragam kalompo' agama bangsana monoteisme, politeisme, panteisme, nonteisme, nennia agama tertentu lainge bangsana Kristen, Yahudi, Islam, Taoisme, Buddhisme, nennia maega lainna; de' natoli jelas untu' kega kritik itujukang iyare'gi lettu kegani kritik berlaku untu' agama-agama laing.",paragraph_038_sent01
paragraph_039,44808,1,"Sebagai ana', Chaime mancaji pion ri laleng kekuatang politi' ri provence, di mana ambo'na maccoe terliba' laleng pertempurang menolong mubtadi' Kathar pole Albi nalawang pasukan Perang Salib Albigensia ye ipimpin oleh Simon IV de Montfor, Earl Leicester, ye nacobai untu' namusnahkan mereka.",paragraph_039_sent01
paragraph_040,59162,1,"Nah, Puang-puang yamanengna parellu misseng na yamaneng bangsa Israel to parellu missengi makkeda yae taue tettong makkokkoe sibawa batang kale malessi ri olona Puang-puang, nasaba' kekuatan na akuasangeng pole Yesus Kristus yaro tau Nazaret e.",paragraph_040_sent01
paragraph_040,59162,2,"Puang-puang pura nasalibkan yaro Yesus, tapi' Allah ta'ala purai napatuo Alena paineng",paragraph_040_sent02
paragraph_041,120462,1,"Iyaro daftar'e de'na riaseng'i parellui ri Gereja Katolik'e, nennia nasaba parellui Martin Luther, Gereja Katolik'e napinrai kanon'e ri Konsili Trente, iya purana napattentu paimeng kanon'e pole konsili-konsili riolo nennia natambai klausula anatema'e lao ri sininna usahana untu' napinrai isi kanon'e.",paragraph_041_sent01
paragraph_042,98247,1,Alena pun teta nallaleni rukun iman na Islam.,paragraph_042_sent01
paragraph_042,98247,2,"Namun, di padepokannya eddi, dena hanya diiseri oleh tau beragama Islam, agama laing pun dipersilakan maggabung.",paragraph_042_sent02
paragraph_042,98247,3,"Naikia sayang, Siswo  dena najelaskang mengenai ajaran fole kelompo eddi.",paragraph_042_sent03
paragraph_042,98247,4,"Trisula Weda merangkul yamaneng ajaran, di Trisula Weda  engka merangkul yamaneng, Hindu, Kristen, tau fole Bali todo engka todo, matterru Pasundan, Sunda Wiwitan, Jawa  Kejawen, komplit.",paragraph_042_sent04
paragraph_043,4786,1,"Kasus yede berkaitan sibawa tindakan mala paksa, iya lipegau' sibawa pemerintah Negara Gereja, lao salah seddi anak keluarga Yahudi ki Bologna, yanaritu Edgardo Mortara, iya nappa enneng taung umuru'na, atas dasar kesaksian seddi mantan pelayan keluarga Mortara makkeda Edgardo pura libaptis secara darurat wettu malasa wettuna biccu mupi.",paragraph_043_sent01
paragraph_044,109734,1,"Ero maneng cendekiawan modern pura napanessa makkeda surat-surat berharga iyehe denawedding yappodang sibawa naggunang huruf-huruf sandi berdasar lokko Salib Malta; engkato nala selisih pendapat lokko iye agagae, sibawa aretoga sistem kode iyehe napapigunang monri sibawa degaga sesuatu ero nagunang lokko iyamaneng Kesatria Ordo Bait Allah lokko abad maritengah.",paragraph_044_sent01
paragraph_045,112060,1,"Doktring-doktring Kristen maccaku’ ateppereng makkeda Yesus ikandung ku Roh Kudus, ipajaji pole seddi perawang asenna Maria, pegau’ maega mujjisa’, mappatettong Gereja, mate nasaba’ assalibeng sebagai karoba lao penebusang, moto’ pole amatengeng na menre’ lao Suruga, na maelo engka paimeng ri lino.",paragraph_045_sent01
paragraph_046,4285,1,"Sibawa iya' ma'janci sibawa sungguh-sunggu untuk perhatikan, sibawa berdoa memohon bare' Pikiran iya to engka ki laleng Kristus Yesus yaro monro ki laleng idi', untuk nalakukan lao tau laing aga iya melo' bare' alena najama lao idi'; sibawa untuk bertindak penno kasih, adil, nennia murni.",paragraph_046_sent01
paragraph_047,38045,1,Okina pura ipake untu' mewai iyyagi tau Yahudi naiyta umat Kristiani.,paragraph_047_sent01
paragraph_047,38045,2,… makeda mappamula wettu iyyaro akewange na peperangan na asilolongeng-meja iyya magatti si-sulle na de' pettu-pettu cumpa ku kota iyyaro na ku yemaneng Yudea lettu pacapurengna ikepungi ku Vespasianus moloi.,paragraph_047_sent02
paragraph_048,14611,1,"Onrong iyae, monroi ri tange mattama sempit salo' kuniro Salo' Marne mengitari tanah berbatu, riwerengi aseng purana parit oppidum Celtic sibawa kemudian castrum Romawi; situs iyae riiseng laleng catatan pertengahan sebagai Castrum Bagaudarum, ri wettu yero Bagaudae mebbu reputasi sebagai penjaga umat Kristen pole siksaan Romawi.",paragraph_048_sent01
paragraph_049,115567,1,"Nappa Yesus no' pole yaro bukit e massama-samangi sibawa yaro rasul-rasul e, nappa pajai na tettong ri seddi onrong yaro malappa'e.",paragraph_049_sent01
paragraph_049,115567,2,"Akkero mai engka to maega loppo paccoe'-paccoe'-Na yaro lainge na maega tau yaro engka lettu pole tega-tega ri yamaneng Yudea, Yerusalem, na kota-kota Tirus na Sidon yaro ri wiring tasi'",paragraph_049_sent02
paragraph_050,102163,1,"Negara Gereja sicara resmi naccang ummat Yahudi nafajjama pelayang yero magama Kristen, tafi keluarga-keluarga Yahudi yero taat magama manganggap keberadaan pelayang-pelayang tania Yahudi ri bola tae liwe penting, nasaba pelayang-pelayang yero de taikat fole syariat agama Yahudi nappa wedding tette najamai jamang-jamang bola tangga tabbulu ummat Yahudi matunaikan kewajibang maistirahat akki esso Sabat.",paragraph_050_sent01
paragraph_051,114258,1,Indo’na guru matematika ri sikolang bunge’.,paragraph_051_sent01
paragraph_051,114258,2,Tatas Brotosudarmo iyanaritu appo gattungna Siwur pole KGPAA Mangkunegara I mangeppu KPH Poerbonagoro sibawa to appi wareng pole KGPAA Mangkunegara IV mangeppu BRAy Tondokusumo.,paragraph_051_sent02
paragraph_051,114258,3,Tatas Brotosudarmo botting sibawa Dr. Leenawaty Limantara.,paragraph_051_sent03
paragraph_051,114258,4,Tatas Brotosudarmo iyanaritu tau panrita Kristen Indonesia iyaro macca redormed injil.,paragraph_051_sent04
paragraph_051,114258,5,"Tuli hadere, akku penginjilan sibawa seminar kekeristenan.",paragraph_051_sent05
paragraph_052,29871,1,"Mangulang-ulang nappa sibawa megana cara ero bapa suci na pa tette ma pekko ero maneng tau ee harusuk tuo taat lao okko Yesus Kristus sibawa setia mengabdi na ma pake ating ero murni sibawa ating nurani ero mekanja ee, laleng na status tuo aregaa agaga aro ga ma pekko cara tuo religius agagi ero na pile we.",paragraph_052_sent01
paragraph_053,114425,1,Amerika Serikat dessa necce lalengna proses mappile yewe.,paragraph_053_sent01
paragraph_053,114425,2,"AS, dessa femeng nitai perang akki Asia Tenggara sebagai rufanna perang salib nalawang si majassifa', sibawa dessana femeng najampangi sitongengna wettu yolo yero fekkogi yero nelori rakyat akkewe.",paragraph_053_sent02
paragraph_053,114425,3,"Irita fole nafaue yero pemimpin akki Washington, yero mencaji masala fassaleng bawang atepperengna sekutu-sekutu AS lao jangci sibawa komitmen negeri yero.",paragraph_053_sent03
paragraph_054,118792,1,Jaji alena nasuroni pengiku'-pengiku' na alena akku Yesus sibawa siarega anggota golongan Herodes.,paragraph_054_sent01
paragraph_054,118792,2,"Tau-tau e ro napau akku Yesus, Pa' Guru, idi' misseng i makkeda Bapa' jujuru'.",paragraph_054_sent02
paragraph_054,118792,3,"Bapa' tapagguru de' ta' belle aga naeloki Allah untu' tau e, na de' tajampangi pendapa' na tau e.",paragraph_054_sent03
paragraph_054,118792,4,Nasaba' Bapa' de' ta ita i niga tau,paragraph_054_sent04
paragraph_055,109831,1,"Keyakinan Katolik Roma maelo pemurnian rilaleng atuwongeng purana amatengeng pole yede linoe didasarkan ri praktik berdoa untuk' arwah, iya napuada rilaleng aga iya napuada Gereja Katolik Roma mancaji bageang pole Kitab Suci, nenniya diterapkan pole umma' Kristen sipungenna pammulanna, seddi praktik iya mengandaikan makkada arwah passabarengna itulungi rilaleng fase yelle'na amatengeng jasmani nenniya mattama'na pada alena lao rilaleng cappa' onrongna pada alena.",paragraph_055_sent01
paragraph_056,117697,1,"Sile'ttunna ri be'nere liang lahat, prosesi pemakaman ripammulai nasibawai mabbaca riwayat hidup siba mabbbage penghargaan iye riterima Ani Yudhoyono.",paragraph_056_sent01
paragraph_056,117697,2,"Selanjutna, Jokowi nallippe'ssang kepergian benena untuk rimakamkan ri yawa naunge'ng bendera Ce'lla Pute.",paragraph_056_sent02
paragraph_056,117697,3,"Iya Presiden Republik Indonesia yase ase'ng negara, bangsa, siba TNI, nasibawai ewe mempersembahkan okko persada indo pertiwi jiwa, raga, siba jasa-jasa almarhumah Hj Kristiani Herawati Yudhoyono, kata Jokowi.",paragraph_056_sent03
paragraph_057,26859,1,Idi' sippada batu-batu iya tuoe.,paragraph_057_sent01
paragraph_057,26859,2,Nasaba' iyaro melo'na idi' melo' ipake untu' bangung Bolana Allah iya rohani.,paragraph_057_sent02
paragraph_057,26859,3,"Narimakkuanna naro idi' mancaji imang-imang, iya tuo khusus untu' Allah, na lalo Yesus Kristus persembahkan i akku Allaah, karoba rohani iya natarima akku atinna Allah",paragraph_057_sent03
paragraph_058,47670,1,"Palebbangna Lisinius riaseng'i pappasilennereng pole riseddie pusa' assiewangeng politi' Yunani-pabbicarae nenniyya Pagan ri Timurung, sibaawa Roma-pabbicarae Latin nenniyya Kristiani, nenniyya ripassu'i majeppu seddi ibukotana Timurung iyya baru'e waji'i mancaji pappasilennereng integrasi Timurung ri lalenna Kekaisaran Romawi yamanenna, mancaaji pusa' aggurung, asugireng, nenniyya pelestariang ade'e ri yamanenna Kekaisaran Romawi Timurung.",paragraph_058_sent01
paragraph_059,43596,1,"Imajinasi Katolik'e mattarakkangngi modele'na ade'e iyya biasangnge ri lalenna tau Katolik'e iyya dee'e naripassala pole pakkitanna Gereja Katolik Roma iyya makkedae Puangnge engkai ri lalenna sininna sewwa-sewwae nenniyya ri lalenna rupa tauwe, iyya riita rilalenna sistem sakramen'e iyya gau-gau'e nenniyya rupa tauwe mancaji assaleng nenniyya laleng pole ri pammasena ilahi'e.",paragraph_059_sent01
paragraph_060,24642,1,"Tongengna, menuru' Kepala Bagian Humas Pemkot Surabaya Febriadhitya Prajatara nassakkareng kegiatan yero iyanaritu kegiatan baptis.",paragraph_060_sent01
paragraph_060,24642,2,Kegiatan lalengna yero videoe iyanaritu kegiatan silaturahmi sibawa yero rohaniawan se-Surabaya.,paragraph_060_sent02
paragraph_060,24642,3,Jaji idi' pastikan makkeda lalengna acada yero Bu Wali Kota iyello doangi bara' tuli madising sibawa tuli Ilingdungiwi Puangalataala.,paragraph_060_sent03
paragraph_060,24642,4,Dessa gaga acara laingnge silaingna yero.,paragraph_060_sent04
paragraph_061,86803,1,"Pitangi lao okko iya siddi tau ero lalo okko Injil yaro pura na runtu na pemeng pole okko kemabukan lao okko laleng kesadaran diri, pole okko kemarahan nah kegusaran ko laleng kesabaran diri, pole okko ketamakan lao okko kemurahan hati, pole cemar mulut lao okko laleng baik wicara, pole okko ketidaksenonohan lao okko laleng kesahajaan.",paragraph_061_sent01
paragraph_062,34667,1,"Atuongena atuonge relijius na pangkaukeng marilaleng pole Bernard pole Clairvaux na Fransiskus pole Asisi ku abad kasepulo dua na kasepulo tellu, masilong sibawa susangena maneng Salibis iyya lesu pole Tanah Suci, warengi atuonge devosi ku Carita Peddina Yesus Kristus.",paragraph_062_sent01
paragraph_063,13842,1,"Mareppe makkeda seddie kerajaang Nestorian ye lenynye'e engka ri bagiang timur, iyare'gi makkeda asalamakeng Negara-negara Tentara Salib tergantung akku seddie aliansi sibawa seddie tau penguasa monarki Timur, yenaritu salah seddi alasang bare' siare'-are' duta loppo nennia misionaris Kristen ikiring lao Mongol.",paragraph_063_sent01
paragraph_064,12281,1,Berikut kumparan mappasilolongeng.,paragraph_064_sent01
paragraph_064,12281,2,"Shandy Aulia De'na namaitta iye, Shandy Aulia mappuada mabbka puasa sibawa keluarga maraja sang ayah, Kemas Yusuf Effendy.",paragraph_064_sent02
paragraph_064,12281,3,"Mappada riissengngi, sipungenna Shandy umurunna tellu taung, tomatowanna massarang.",paragraph_064_sent03
paragraph_064,12281,4,"Shandy pura toi sibawa indo'na, Elsye Dopong, sibawa menganut agama Kristen.",paragraph_064_sent04
paragraph_064,12281,5,"Namakkuaniro ero, Tellu silessurenna makkunrai, Dian, Vivi, sibawa Putri, mancaji agama Islam pada-padanna ambo'na, Kemas.",paragraph_064_sent05
