index,text,kata_kunci_ditemukan
13038,"Ku manessae, tabel-tabel kanon, naiyya gambara'-yambara' paroki Injil, parellu lanre laleng studi alopponge oki naskah ku periode Abad Patengang Pamulang, ku tegi iyyami cedde naskah iyya ipatahangi, na naskah iyya lebbi riolo matama' lebbi cedde gambara' naiyya naskah pole periode matuna.",injil
120746,"Narekko provinsi iye miskin sibawa idi materru runtui stigma majae, padae bawang hinaan ero rituju lao ri Tuhan. ero battuangna idi mebbere beban Tuhan, tandasna. Laonimai idi mengurangngi beban Tuhan sibawa najamai potensi iyae riwerengngi Tuhan lao ri idi sibawa madeceng. Minimal idi dek paimeng riteppu sebagai provinsi miskin, provinsi macarepa, nasaba memang gereja sibawa pamarentah sama-sama majjama sibawa untu naatasi, tutupna.",gereja
105289,"Nazaret, kotaNazareth, kota onrong Yesus atau Nabi Isa Almasih nacappuri masa ana-ana, taung eddi merayakang Natal. Wali Kota Nazareth Ali Salam, nabatalkang seluruh rangkaian Perayaang Natal, sebagai protes atau keputusang Presideng Amerika serikat Donald Trump yang manggaku Yerusalem sebagai Ibu Kota Israel. Kota aro elo mafatuo Pohon Natal, tafi dena menggelar perayaan apapun.","yesus, isa almasih"
38415,"Alena lao sibawa siare surona gereja'e nennia ade'e untu' mappasadia surona Papua iyae matu engka ri upacara penobatanna Jokowi. Nasaba' sukkuru'i nasaba' naalle Jokowi, naissenni alena waji'i massempajang lao ri Jokowi mancaji presiden terpilih narimakkuannanaro naullei pimpingngi Indonesia sibawa madeceng, naiyya nabarakkakiwi Jokowi.",gereja
10418,"Ri lalenna iyyaro bobbo’ e, engka paragraph iyya nateppui makkeda sila pammulanna Pancasila iyanaritu Ketuhanan Yang Maha Esa nennia rilambangkang i sibawa sewwa biccuing ulaweng massudu’ lima. Iyyae sila e nabettuangi agama-agama maraja e ri Indonesia, iyanaritu Islam, Kristen, Buddha, Hindu, sibawa Ideologi Sekuler Sosialisme.",kristen
83331,"Kanon Katolik Roma sibawa Gereja-gereja Timur nacakup kitab-kitab yaro laesebbu deuterokanonika, yaro kega kewibawaanna laetentang okko Akiba ben Yusuf silaleng na perkembangan kanon Ibrani okko abad pertama; namo rekeng Akiba meto de' na natentang lae pake na pribadi kitab-kitab yaro sebagaimana alena meto biasa napake Kitab Sirakh.",gereja
4941,"Seddie, naekiya de'na seddi-seddi, iyyanaritu ekspresi gerakan ekumenis, iya pura mancaji gerakan untu' mabbentu gereja-gereja bersatu, pappada Gereja India Selatan, Gereja India Utara, Gereja Kristus berbasis ri AS, Gereja Bersatu Kanada, Gereja Uniting di Australia sibawa Gereja Bersatu Kristus di Filipina iya to napunnai i pengurangan keanggotaan sibawa magatti.",gereja
52972,"Kitab Musa yanaritu syatatan iyae lebbi lengkap fassaleng uki-uki Musa ri awal kitab Kejadian laleng Accanjingeng Itta.Kitab Musa mallise maega doktrin na aggurung iyae tabbe fole Alkitab na mabbere informasi tambahan fassaleng rencana keselamatan, penciptaan bumi serta urusan-urusan Tuhan silong Adam na Henokh.",alkitab
19071,"Sedi-seddi wettu rilaleng taung liturgi collongenggi tema teologi mattentu na tata cara massumpajang matentu iyya rijellokeng sibawa rupanna carana hiasi gereja, cora-cora paramentum na vestimentum bage rohaniwan, nas-nas Alkitab iyya ribacangeng rilaleng assumpajangeng, tema-tema makkatobba, na nulle sibawa rupanna tradisi sibawa praktik lo riammalakeng pole anggota jemaat secara pribadi iyyarega ri onrong ceddi-ceddi.","gereja, alkitab, jemaat"
126421,"Alena mebbu kritik yaro matareng lokka prasangka-prasangka yaro makkokkoe muncul tentang keuntungan-keuntungan yaro riabbereang lokka manusia pole gereja, negara na distribusi harta punna yaro engkae, na pole aggurung-aggurung Yesus alena nasimpulkan atoran untuk de'na mewa na kutukan mutlak lokka yamaneng perang.","yesus, gereja"
875,"Purana nasalai kepemimpinan NHGRI sibawa sebelum mancaji direktur NIH, alena patettong sibawa mancaji toi presiden The BioLogos Foundation, iya napromosikan discourse tentang hubungan antara sains sibawa agama sibawa naadvokasi perspektif makkeda kepercayaan Kristen naulle iselaraskan sibawa penerimaan evolusi sibawa sains, terutama lalo pengembangan kreasi evolusioner.",kristen
32004,"Purana serangang pammulang, pasukang Utsmaniyah tersebar ri sepanjang kalanan kota, Mese, nalewatkang forum-forum loppo, nennia nalewatkang Gereja Rasul Suci, ye yenelokie akku Mehmed II untu' ipanjaci onrong kedudukanna patriark ye elo' ijello'na, ye elo' mabbantu untu' lebbi makanja' laleng mengendalikang rakyat Kristenna.",gereja
127761,"Seddi apologet kristen na filsuf Alvin Plantinga iyae maddukung teori perancangan macca maformulasikan ulang argumen denanamungkin eddi sebage argumen evolusioner mabbali naturalisme, iya nanyatakan makkedda iyaro dena rasional untu mattolak keberadaan perancang macca na supernatural nasabari kemungkinan kemampuan mattentu tabbentu liwa syidaha.",kristen
37422,"Sebab iya yakin, makeda baik maut, maupun hidup, baik malaikat-malaikat, maupun pemerintah-pemerintah, makessing yewe engka makkukue, maupun yewe melo engka, atau kuasa-kuasa, baik yewe akki yase, maupun yewe akki iyawa, ataupun sesuatu makhluk lain, dessa melo wedding maserang ki fole kasih Allah, yewe engka laleng Kristus Yesus, Tuhan kita.",yesus
34003,Upacara pembaptisan ana-ana ki gereja Lutheran Upacara pengakuan dosa ki Gereja Katolik Ukraina Perayaan Ekaristi ki gereja Metodis Upacara pagala'i ki gereja Anglikan Upacara pentahbisan imang ki Gereja Ortodoks Rialau Pemahkotaan mempelai rilaleng upacara botting ri Gereja Katolik Suriah Malabar Upacara pengurapan tau malasa ri Esso Raba' Mapaccing.,gereja
23201,"Istilah aro syau lessi difake laleng Gereja Ortodoks Timur na Gereja Katolik Timur na terkadang iyaro analog fole monsinyur laleng Gereja Katolik, tafi laleng Gereja-Gereja Timur, seddi imam agung mappake jubah tambahan na seddi salib pektoral na kadang diakka molai seddi upacara liturgi.","gereja, salib"
62204,"Yede gau'e matedde rilaleng atuwongenna, gangka ri taung-taung paccappureng tuwongenna, alena lebbi gigih mappuada makkada Alkitab iyanaritu otoritas utama rilaleng Kekristenan, makkada akuwasanna Paus de nappunnai dasar sejarah, makkada atuwongeng biara iyaero pura mancaji makkasolang teng paddennuang untu' pinra, nenniya makkada kebobrokan moral sining pendeta nacarepai jabatan nenniya sakramen iya pada alena pogau.","alkitab, pendeta"
47815,"Untu' uma' Islam, de' isuroangi untu; magurui ise'na Taurat, Zabur, na Injil iyya engka makukuae, nasaba naseng agurung Islam, yasengi pura matama' rupangna bettuange manessanaiyya de' tongen na nasaba ise'na yemaneng kitab iyya yapereluang mupi, purani ipatama ku lalengna kitab Al-Qur`an.",injil
118321,"Tau iya palettu' kareba, harusu' napalettu' kareba pole Allah; tau iya layani tau laing e, harusu' nalayani sibawa agalakeng iya pole we Allah, bara' ilaleng siningna gau' e, Allah wedding iagungkan lalo Yesus Kristus. Alena makkuasa na wedding ipakaraja untu' silampe'na etta. Amin",yesus
92081,"Kehormatan pengurapan sibawa parfum yanaro tindakan yaro sangi' riteppu laleng literatur lainge pole yaro masae; ne, mappake gemme lampe' untuk rakkoi aje Yesus, mappada laleng Injil Yohanes na Lukas, de'na ricatat ri onrong lainge, na parellu rianggap sebagai tindakan yaro istimewa.","yesus, injil"
13188,"Namuni engka sadda-sadda laleng Dewan Signoria Venesia ye iyusulkang nare' pulau yero iyaleng sibawa passullenna  wilayah ri Dalmatia nennia hak-hak dangkang istimewa, harapang elo' engkana  bantuang pole negara-negara Kristen lainna napancaji Venesia maloppo ulu, nennia ultimatum Utsmaniyah to itola' mentah-mentah.",kristen
65272,"Hebraisme, sippada Helenisme, ianaritu salah seddi faktor pongpenting laleng perkembangan peradaban Dunia Barat; agama Yahudi, mancaji paddiolona pole agama Kristen, secara de' na langsung maega mabbere sumbangan lao akkibukeng nilai-nilai luhur sibawa akhlak bangsa-bangsa Barat sipongenna agama Kristen tattale' maloang ri puttanang Eropa.",kristen
93044,"Ku wettu Borgias, yarega wettu ku tegi silesurengna Borgia kuasai kepemimpinan Gereja, perang ku Italia mamula malanre ku tegi tentara-tentara nawajae Swiss mancaji pasukan garisi yolo tette untu' faksi-faksi iyya siewa - maderi untu' Prancis na maderi untu' taua Gereja yarega Kekaisaran Romawi Suci.",gereja
111711,"Jurnal penelaahan sejawat New Testament Studies iyya ipassu ku Cambridge University Press, paui agaga padangena iyya manessa ku agaga-agagana iyya terangkangi tanrangna alena na jamang Parakletos, sibawa aga iyya pura dinubuatkan untu' umat Kristen, iyyanaro nubuat iyya nacaritai Parakletos mancaji paberena Roh Kudus pasca-Paskah.",kristen
38419,"Naikiya nasaba' iyaro Allah namasei ka, bara' Kristus Yesus wedding nappitang siningna asabbarakeng-Na akku iya', tau iya paling madosa e he. Na iyahe mancajiwi seddi contoh untu' siningna tau e matu' melo' mateppe' akku-Alena na naruntu' tuo sejati na pulana",yesus
121255,"Umma' Kristen narasai idiskriminasi akut, persekusi, na rilaleng siare kasus ripettui pidana mate ri siare' negara Muslim, Yahudi, na Asia Selatan, iyanaritu ri Irak, Iran, Israel, Suriah, Teritorial Palestina, Mesir, Arab Saudi, Turki, Qatar, Uzbekistan, Yordania, Oman, Kuwait, Kazakstan, Tajikistan, Turkmenistan, Kirgistan, Eritrea, Uni Emirat Arab, Kosovo, sibawa Chechnya.",kristen
127230,"Agama Kristeng itentang ri laleng maega peristiwa iyya berhubungangnge pole assi antiklerikalisme bawang lettu' alluangeng assi kekerasang pappadanna assi dekristenisasi riwettu mattengnganna Revolusi Prancis, Ammusureng Rikkaneng Spanyol, na gerakang-gerakang Marxis mattentu, khususu'na Revolusi Rusia na penindasang umma' Kristen ri Uni Soviet ku rezim ateis.",kristen
73782,"Ye engkana beragam kalompo' agama bangsana monoteisme, politeisme, panteisme, nonteisme, nennia agama tertentu lainge bangsana Kristen, Yahudi, Islam, Taoisme, Buddhisme, nennia maega lainna; de' natoli jelas untu' kega kritik itujukang iyare'gi lettu kegani kritik berlaku untu' agama-agama laing.",kristen
44808,"Sebagai ana', Chaime mancaji pion ri laleng kekuatang politi' ri provence, di mana ambo'na maccoe terliba' laleng pertempurang menolong mubtadi' Kathar pole Albi nalawang pasukan Perang Salib Albigensia ye ipimpin oleh Simon IV de Montfor, Earl Leicester, ye nacobai untu' namusnahkan mereka.",salib
59162,"Nah, Puang-puang yamanengna parellu misseng na yamaneng bangsa Israel to parellu missengi makkeda yae taue tettong makkokkoe sibawa batang kale malessi ri olona Puang-puang, nasaba' kekuatan na akuasangeng pole Yesus Kristus yaro tau Nazaret e. Puang-puang pura nasalibkan yaro Yesus, tapi' Allah ta'ala purai napatuo Alena paineng",yesus
120462,"Iyaro daftar'e de'na riaseng'i parellui ri Gereja Katolik'e, nennia nasaba parellui Martin Luther, Gereja Katolik'e napinrai kanon'e ri Konsili Trente, iya purana napattentu paimeng kanon'e pole konsili-konsili riolo nennia natambai klausula anatema'e lao ri sininna usahana untu' napinrai isi kanon'e.",gereja
98247,"Alena pun teta nallaleni rukun iman na Islam. Namun, di padepokannya eddi, dena hanya diiseri oleh tau beragama Islam, agama laing pun dipersilakan maggabung. Naikia sayang, Siswo  dena najelaskang mengenai ajaran fole kelompo eddi. Trisula Weda merangkul yamaneng ajaran, di Trisula Weda  engka merangkul yamaneng, Hindu, Kristen, tau fole Bali todo engka todo, matterru Pasundan, Sunda Wiwitan, Jawa  Kejawen, komplit.",kristen
4786,"Kasus yede berkaitan sibawa tindakan mala paksa, iya lipegau' sibawa pemerintah Negara Gereja, lao salah seddi anak keluarga Yahudi ki Bologna, yanaritu Edgardo Mortara, iya nappa enneng taung umuru'na, atas dasar kesaksian seddi mantan pelayan keluarga Mortara makkeda Edgardo pura libaptis secara darurat wettu malasa wettuna biccu mupi.",gereja
109734,"Ero maneng cendekiawan modern pura napanessa makkeda surat-surat berharga iyehe denawedding yappodang sibawa naggunang huruf-huruf sandi berdasar lokko Salib Malta; engkato nala selisih pendapat lokko iye agagae, sibawa aretoga sistem kode iyehe napapigunang monri sibawa degaga sesuatu ero nagunang lokko iyamaneng Kesatria Ordo Bait Allah lokko abad maritengah.",salib
112060,"Doktring-doktring Kristen maccaku’ ateppereng makkeda Yesus ikandung ku Roh Kudus, ipajaji pole seddi perawang asenna Maria, pegau’ maega mujjisa’, mappatettong Gereja, mate nasaba’ assalibeng sebagai karoba lao penebusang, moto’ pole amatengeng na menre’ lao Suruga, na maelo engka paimeng ri lino.","kristen, yesus, gereja"
4285,"Sibawa iya' ma'janci sibawa sungguh-sunggu untuk perhatikan, sibawa berdoa memohon bare' Pikiran iya to engka ki laleng Kristus Yesus yaro monro ki laleng idi', untuk nalakukan lao tau laing aga iya melo' bare' alena najama lao idi'; sibawa untuk bertindak penno kasih, adil, nennia murni.",yesus
38045,Okina pura ipake untu' mewai iyyagi tau Yahudi naiyta umat Kristiani. … makeda mappamula wettu iyyaro akewange na peperangan na asilolongeng-meja iyya magatti si-sulle na de' pettu-pettu cumpa ku kota iyyaro na ku yemaneng Yudea lettu pacapurengna ikepungi ku Vespasianus moloi.,kristiani
14611,"Onrong iyae, monroi ri tange mattama sempit salo' kuniro Salo' Marne mengitari tanah berbatu, riwerengi aseng purana parit oppidum Celtic sibawa kemudian castrum Romawi; situs iyae riiseng laleng catatan pertengahan sebagai Castrum Bagaudarum, ri wettu yero Bagaudae mebbu reputasi sebagai penjaga umat Kristen pole siksaan Romawi.",kristen
115567,"Nappa Yesus no' pole yaro bukit e massama-samangi sibawa yaro rasul-rasul e, nappa pajai na tettong ri seddi onrong yaro malappa'e. Akkero mai engka to maega loppo paccoe'-paccoe'-Na yaro lainge na maega tau yaro engka lettu pole tega-tega ri yamaneng Yudea, Yerusalem, na kota-kota Tirus na Sidon yaro ri wiring tasi'",yesus
102163,"Negara Gereja sicara resmi naccang ummat Yahudi nafajjama pelayang yero magama Kristen, tafi keluarga-keluarga Yahudi yero taat magama manganggap keberadaan pelayang-pelayang tania Yahudi ri bola tae liwe penting, nasaba pelayang-pelayang yero de taikat fole syariat agama Yahudi nappa wedding tette najamai jamang-jamang bola tangga tabbulu ummat Yahudi matunaikan kewajibang maistirahat akki esso Sabat.","kristen, gereja"
114258,"Indo’na guru matematika ri sikolang bunge’. Tatas Brotosudarmo iyanaritu appo gattungna Siwur pole KGPAA Mangkunegara I mangeppu KPH Poerbonagoro sibawa to appi wareng pole KGPAA Mangkunegara IV mangeppu BRAy Tondokusumo. Tatas Brotosudarmo botting sibawa Dr. Leenawaty Limantara. Tatas Brotosudarmo iyanaritu tau panrita Kristen Indonesia iyaro macca redormed injil.  Tuli hadere, akku penginjilan sibawa seminar kekeristenan.","kristen, injil"
29871,"Mangulang-ulang nappa sibawa megana cara ero bapa suci na pa tette ma pekko ero maneng tau ee harusuk tuo taat lao okko Yesus Kristus sibawa setia mengabdi na ma pake ating ero murni sibawa ating nurani ero mekanja ee, laleng na status tuo aregaa agaga aro ga ma pekko cara tuo religius agagi ero na pile we.",yesus
114425,"Amerika Serikat dessa necce lalengna proses mappile yewe. AS, dessa femeng nitai perang akki Asia Tenggara sebagai rufanna perang salib nalawang si majassifa', sibawa dessana femeng najampangi sitongengna wettu yolo yero fekkogi yero nelori rakyat akkewe. Irita fole nafaue yero pemimpin akki Washington, yero mencaji masala fassaleng bawang atepperengna sekutu-sekutu AS lao jangci sibawa komitmen negeri yero.",salib
118792,"Jaji alena nasuroni pengiku'-pengiku' na alena akku Yesus sibawa siarega anggota golongan Herodes. Tau-tau e ro napau akku Yesus, Pa' Guru, idi' misseng i makkeda Bapa' jujuru'. Bapa' tapagguru de' ta' belle aga naeloki Allah untu' tau e, na de' tajampangi pendapa' na tau e. Nasaba' Bapa' de' ta ita i niga tau",yesus
109831,"Keyakinan Katolik Roma maelo pemurnian rilaleng atuwongeng purana amatengeng pole yede linoe didasarkan ri praktik berdoa untuk' arwah, iya napuada rilaleng aga iya napuada Gereja Katolik Roma mancaji bageang pole Kitab Suci, nenniya diterapkan pole umma' Kristen sipungenna pammulanna, seddi praktik iya mengandaikan makkada arwah passabarengna itulungi rilaleng fase yelle'na amatengeng jasmani nenniya mattama'na pada alena lao rilaleng cappa' onrongna pada alena.","kristen, gereja"
117697,"Sile'ttunna ri be'nere liang lahat, prosesi pemakaman ripammulai nasibawai mabbaca riwayat hidup siba mabbbage penghargaan iye riterima Ani Yudhoyono. Selanjutna, Jokowi nallippe'ssang kepergian benena untuk rimakamkan ri yawa naunge'ng bendera Ce'lla Pute. Iya Presiden Republik Indonesia yase ase'ng negara, bangsa, siba TNI, nasibawai ewe mempersembahkan okko persada indo pertiwi jiwa, raga, siba jasa-jasa almarhumah Hj Kristiani Herawati Yudhoyono, kata Jokowi.",kristiani
26859,"Idi' sippada batu-batu iya tuoe. Nasaba' iyaro melo'na idi' melo' ipake untu' bangung Bolana Allah iya rohani. Narimakkuanna naro idi' mancaji imang-imang, iya tuo khusus untu' Allah, na lalo Yesus Kristus persembahkan i akku Allaah, karoba rohani iya natarima akku atinna Allah",yesus
47670,"Palebbangna Lisinius riaseng'i pappasilennereng pole riseddie pusa' assiewangeng politi' Yunani-pabbicarae nenniyya Pagan ri Timurung, sibaawa Roma-pabbicarae Latin nenniyya Kristiani, nenniyya ripassu'i majeppu seddi ibukotana Timurung iyya baru'e waji'i mancaji pappasilennereng integrasi Timurung ri lalenna Kekaisaran Romawi yamanenna, mancaaji pusa' aggurung, asugireng, nenniyya pelestariang ade'e ri yamanenna Kekaisaran Romawi Timurung.",kristiani
43596,"Imajinasi Katolik'e mattarakkangngi modele'na ade'e iyya biasangnge ri lalenna tau Katolik'e iyya dee'e naripassala pole pakkitanna Gereja Katolik Roma iyya makkedae Puangnge engkai ri lalenna sininna sewwa-sewwae nenniyya ri lalenna rupa tauwe, iyya riita rilalenna sistem sakramen'e iyya gau-gau'e nenniyya rupa tauwe mancaji assaleng nenniyya laleng pole ri pammasena ilahi'e.",gereja
24642,"Tongengna, menuru' Kepala Bagian Humas Pemkot Surabaya Febriadhitya Prajatara nassakkareng kegiatan yero iyanaritu kegiatan baptis. Kegiatan lalengna yero videoe iyanaritu kegiatan silaturahmi sibawa yero rohaniawan se-Surabaya. Jaji idi' pastikan makkeda lalengna acada yero Bu Wali Kota iyello doangi bara' tuli madising sibawa tuli Ilingdungiwi Puangalataala. Dessa gaga acara laingnge silaingna yero.",baptis
86803,"Pitangi lao okko iya siddi tau ero lalo okko Injil yaro pura na runtu na pemeng pole okko kemabukan lao okko laleng kesadaran diri, pole okko kemarahan nah kegusaran ko laleng kesabaran diri, pole okko ketamakan lao okko kemurahan hati, pole cemar mulut lao okko laleng baik wicara, pole okko ketidaksenonohan lao okko laleng kesahajaan.",injil
34667,"Atuongena atuonge relijius na pangkaukeng marilaleng pole Bernard pole Clairvaux na Fransiskus pole Asisi ku abad kasepulo dua na kasepulo tellu, masilong sibawa susangena maneng Salibis iyya lesu pole Tanah Suci, warengi atuonge devosi ku Carita Peddina Yesus Kristus. ^ Holweck, Frederick.",yesus
13842,"Mareppe makkeda seddie kerajaang Nestorian ye lenynye'e engka ri bagiang timur, iyare'gi makkeda asalamakeng Negara-negara Tentara Salib tergantung akku seddie aliansi sibawa seddie tau penguasa monarki Timur, yenaritu salah seddi alasang bare' siare'-are' duta loppo nennia misionaris Kristen ikiring lao Mongol.","kristen, salib"
12281,"Berikut kumparan mappasilolongeng. Shandy Aulia De'na namaitta iye, Shandy Aulia mappuada mabbka puasa sibawa keluarga maraja sang ayah, Kemas Yusuf Effendy. Mappada riissengngi, sipungenna Shandy umurunna tellu taung, tomatowanna massarang. Shandy pura toi sibawa indo'na, Elsye Dopong, sibawa menganut agama Kristen. Namakkuaniro ero, Tellu silessurenna makkunrai, Dian, Vivi, sibawa Putri, mancaji agama Islam pada-padanna ambo'na, Kemas.",kristen
27751,"Tata carana memuat ajakan untu' bertobat fole pastor, waktu doa hening yewe memungkinkan umat untu' mengakukan dosa-dosa mereka akki laleng hati, seddi bentuk pengakuan umum yewe diserukan sibawa fole yamaneng yewe hadir, sibawa pemakluman absolusi umum fole pastor yewe umumna isertai sibawa makibbu tanda salib.",salib
114424,"Purana iyaro Yesus napau akku tau-tau e, Narekko seddi tau pole idi' maneng mappunnai seddi ana' iarega sikaju lembu iya mabuang e akku bujung e ri esso Sabat, de' ga na alena magatti' getteng i messu' ana' e ro iarega lembu e ro esso e ro?",yesus
19079,"Kitab-kita ya i pasingewang, ya tama e laleng seddi kanon namung de' na engka laleng ya laing e, sesekale yaseng apokrifa Alkitab, seddi adana ya tulli-tulli i pake secara macikke untu podang kitab-kitab laleng kanon Ortodoks nenniya Katolik ya de' gaga laleng Teks Masoret Yahudi nenniya megana Alkitab Protestang modern.",alkitab
120676,"Maega pole Gereja-gereja iyyae de' natarima pikiri makeda engka seddi otoritas lainge ku seliwengna maneng paroki Kitab Suci iyya odding ku materu mului tau-tau Kristen lainge lalo otoritas ilahi iyya tongenge; purana Perjanjian Baru, makuro alena maneng paui, tange-tange pewahyuan pura itutu.","kristen, gereja"
73265,"Selleng pole Epafras. Alena pole to kalangeng ta. Alena hamba Kristus Yesus, iya tuli millau doang marajing untu' idi' maneng. Alena millau ladde' akku Allah bara' ateppekengta mancaji matedde' na idi' madewasa tongeng, bara' idi' sukku' tunru' akku elo'na Allah",yesus
14811,"Mega tau Kristen tama selleng untu' menghindari pajak jizyah yewe ikenakan akki mereka sebagai Dhimmi Konversi lo Selleng to membuka cakrawala baru untu' tau-tau Kristen asli, mengangkat posisi sosial mereka, menjamin kondisi kehidupan yewe lebih makessing, sibawa nafaloangi ruang lingkup kerja mereka akki jamang yewe lebih teknis terampil sibawa maju.",kristen
52512,"To Kristiani makkutopa ricepu nyawana hakna pallurui petisi lao kalangan istana, mancaji alena temmaka potensial lao risessa pangadele; to Kristiani makkuto mabbere warekkada ase pangkaukeng iya ripamaju mewai alena ri pangadele; sininna senator, ekues, dekurion, veteran sibawa tentara Kristiani tabbei pangkatna maneng; na tau-tau purai ripamaradeka ri laleng kekaisaran mancaji ata.",kristiani
108652,"Alena toh nerak umat Kristen ku Nagekeo kususna Nangaroro magguru tentang hal mapuasa fole umat Muslim ya wettude iyye lo laksanakan selana siuleng fenno. Iya wakkeleki umat Khatolik fole Nangaroro naucapkan selamat ku umat Muslim ya lo tama uleng puasa, uleng ya suci sibawa fenno berkah sibawa idi berusaha untu ciptakan suasana damai sibawa tenteram, nafau.",kristen
1526,"Gereja naitanna sebagai seddi kejahatan serius yaro mancaji saba' iman, rennu, na kasih laleng alena tau lainge mancaji lemma, terutama rekko yae hal e rijama lokka anak-anak ato kaum lolo na pelakuna yanaro pribadi pole pihak otoritas mappada tomatoa, guru, ato imam.",gereja
20401,"LWF iyyato mengaui tellu Akengauna Iman Ekumenis -- Akengauna Iman Nicea, Akengauna Iman Rasuli, na Akengauna Iman Athanasius na akengauna-akengauna iman Gereja Lutheran, utamangena Konfesi Augsburg iyya depa isullei, naiyya Katekismus Beccu Martin Luther mancaji papanessa iyya mapacinge pole Firman Allah.",gereja
26060,"Dokumen iyyae maparengerang na pateddei undang-undang iyya pura yebbu ku yemaneng paus yolona ku aliwenge-aliwengena iyyaro, na iyyato paluangi lettukengna ku yemaneng tau loppona gereja iyya nullewe, untu' selewi hukuman iyya sibawai, maccue ku lalengna alelunge agaga-agaga linoe sibawa mapake aseng tau-tau beasae.",gereja
